group,system,display_label,time_ps,OPA_disp_norm_A,source_workbook,source_sheet
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,0.0,0.0,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,0.1,0.4379250152996615,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,0.2,0.8144583184275166,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,0.3,0.4260957503309091,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,0.4,0.7856854573060258,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,0.5,0.6417093170061257,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,0.6,0.7297853139858711,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,0.7,0.7901065477846047,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,0.8,0.4703516636010776,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,0.9,0.5512104429112727,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,1.0,0.5587007948777881,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,1.1,1.277709449484103,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,1.2,1.25417057790903,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,1.3,1.020092518019192,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,1.4,0.9183753433778921,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,1.5,0.9371773133841692,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,1.6,0.9141136213208322,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,1.7,0.7309131965736205,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,1.8,1.003002248709426,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,1.9,1.426089061552126,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,2.0,1.290265164382267,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,2.1,1.014781930067097,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,2.2,1.486772786723136,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,2.3,1.322375293789722,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,2.4,1.449577046477137,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,2.5,1.676477754122942,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,2.6,1.705107968575058,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,2.7,2.586990486556135,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,2.8,1.763256240889804,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,2.9,1.603102295648623,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,3.0,1.620347754836184,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,3.1,1.483080151401897,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,3.2,1.021844220228632,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,3.3,0.8704399604550644,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,3.4,0.6458648802626168,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,3.5,0.5990456725389597,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,3.6,0.4370714836556268,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,3.7,1.021179679813635,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,3.8,0.7821253605685162,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,3.9,1.009692828885525,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,4.0,1.168580433401953,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,4.1,1.297534402865198,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,4.2,1.163734124911569,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,4.3,0.9816125704526996,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,4.4,1.021890137444126,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,4.5,1.459443644156418,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,4.6,1.208685379210098,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,4.7,1.248539328991554,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,4.8,1.695804602769383,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,4.9,1.726604195871466,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,5.0,1.475241449004915,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,5.1,1.516251388658565,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,5.2,1.436308479468024,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,5.3,1.727403943095076,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,5.4,1.378572044208658,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,5.5,1.276379141066759,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,5.6,1.286194862328513,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,5.7,1.826806331281235,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,5.8,2.044094109381741,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,5.9,2.116505371199772,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,6.0,1.832076600780299,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,6.1,1.636874228043984,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,6.2,2.373560866237897,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,6.3,2.511135002812144,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,6.4,2.860489935660219,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,6.5,2.487258264808768,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,6.6,2.359545270642439,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,6.7,2.419141793245108,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,6.8,2.51006014990757,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,6.9,2.652331496506547,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,7.0,2.615361613646797,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,7.1,2.713134140909434,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,7.2,2.285480768628767,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,7.3,1.928296127432028,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,7.4,2.002657108660241,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,7.5,1.963934962063713,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,7.6,2.112328049036931,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,7.7,2.027922305056451,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,7.8,2.639590206349454,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,7.9,2.687578057685678,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,8.0,2.468768785489367,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,8.1,2.460727066548078,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,8.2,2.370718834714429,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,8.3,2.646673046610692,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,8.4,2.402279638204557,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,8.5,2.556378958213045,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,8.6,1.891498511483174,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,8.7,2.140722147567425,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,8.8,2.060370426684393,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,8.9,1.706669793916262,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,9.0,1.760789813918183,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,9.1,1.904681231561356,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,9.2,1.687763567679863,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,9.3,1.759528353499861,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,9.4,1.750554915629963,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,9.5,2.153611438476835,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,9.6,1.696406383265802,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,9.7,1.557319008024185,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,9.8,1.310221265289966,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,9.9,0.9536515737727641,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_1_n-heptane_99,acetone 1% / n-heptane 99%,10.0,1.160688699892435,group1.xlsx,acetone_1_n-heptane_99
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,0.0,0.0,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,0.1,0.53140335528226,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,0.2,0.2811370164368311,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,0.3,0.4501310589023088,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,0.4,0.7129393061322133,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,0.5,1.175105669207103,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,0.6,1.08902846767084,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,0.7,0.8229750706512392,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,0.8,0.5758306697464886,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,0.9,0.6402207438391704,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,1.0,0.4578289735132306,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,1.1,0.6717362960557695,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,1.2,0.3110897013924018,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,1.3,0.4862274855613683,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,1.4,0.729713950945783,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,1.5,1.085458586837556,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,1.6,1.278815095380178,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,1.7,1.24673667946245,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,1.8,0.9375189509002759,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,1.9,0.9514663850374554,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,2.0,0.6866687398771232,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,2.1,0.6504045391344412,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,2.2,1.339208315400792,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,2.3,1.011509303298093,group1.xlsx,acetone_5_n-heptane_95
group1,acetone_5_n-heptane_95,acetone 5% / n-heptane 95%,2.4,0.6592154340638515,group1.xlsx,acetone_5_n-heptane_95
